category,priority,word_count,hours_taken
Password Reset,3,66,0.9
Software Crash,3,7,5.5
Password Reset,1,84,1.4
Hardware Failure,3,19,24.0
VPN Connection,2,92,2.4
Printer Issue,1,71,4.1
Software Crash,1,78,3.4
Password Reset,2,70,2.1
Hardware Failure,2,32,26.7
Password Reset,2,93,2.3
VPN Connection,3,6,2.4
Printer Issue,2,91,4.3
Hardware Failure,2,44,69.5
VPN Connection,3,77,2.3
Password Reset,1,20,1.9
Printer Issue,1,55,2.2
Printer Issue,2,26,4.0
VPN Connection,2,62,4.3
Hardware Failure,2,88,30.7
Printer Issue,1,79,4.5
Password Reset,2,59,1.7
Software Crash,2,24,6.6
Software Crash,1,64,3.8
Printer Issue,2,35,1.6
VPN Connection,3,70,1.3
Hardware Failure,3,12,42.8
Hardware Failure,3,22,22.6
Password Reset,1,96,1.9
Software Crash,1,99,3.7
Printer Issue,3,45,1.9
VPN Connection,3,96,2.3
Password Reset,3,51,0.6
VPN Connection,2,22,1.4
Software Crash,3,81,5.1
Hardware Failure,1,56,60.0
Password Reset,2,65,2.0
Hardware Failure,2,86,57.4
Software Crash,2,17,3.1
Software Crash,1,45,6.4
Software Crash,2,93,7.7
VPN Connection,3,82,2.2
Printer Issue,3,90,4.1
Software Crash,1,23,7.8
Password Reset,1,6,1.6
Printer Issue,1,61,3.8
Password Reset,1,99,1.0
Password Reset,3,97,0.8
VPN Connection,1,14,3.4
Password Reset,3,24,1.2
Password Reset,3,37,0.8
Software Crash,2,62,4.7
Software Crash,1,75,2.6
Printer Issue,3,19,2.0
Password Reset,3,45,0.9
Printer Issue,1,47,1.1
Software Crash,2,13,2.8
VPN Connection,1,62,2.0
Software Crash,3,67,3.7
Hardware Failure,1,97,49.4
Printer Issue,1,59,4.5
Software Crash,2,82,8.4
Printer Issue,2,18,4.6
Password Reset,3,17,0.4
VPN Connection,1,74,4.6
Software Crash,1,26,4.4
Software Crash,1,67,2.9
Printer Issue,2,5,1.1
VPN Connection,3,53,1.9
Password Reset,2,12,1.2
Software Crash,1,42,5.9
Software Crash,3,13,4.1
Password Reset,3,11,0.9
Software Crash,2,30,4.8
Software Crash,2,63,3.9
Password Reset,1,32,0.6
Password Reset,3,25,0.9
VPN Connection,2,69,2.5
VPN Connection,3,93,2.4
VPN Connection,1,23,4.0
VPN Connection,3,53,1.4
Software Crash,2,91,5.3
Software Crash,3,18,4.9
Software Crash,3,71,6.3
Hardware Failure,2,34,25.6
Password Reset,3,22,1.0
Password Reset,3,18,0.5
VPN Connection,1,49,1.4
Hardware Failure,3,20,46.6
VPN Connection,3,5,2.3
VPN Connection,3,95,1.3
Software Crash,2,91,3.2
Hardware Failure,1,78,70.1
Password Reset,3,40,1.1
Printer Issue,2,61,4.3
Software Crash,1,88,6.7
Hardware Failure,1,14,51.8
Printer Issue,3,6,0.9
Hardware Failure,1,44,59.5
VPN Connection,2,75,4.8
Password Reset,1,63,1.2
Hardware Failure,3,27,17.3
Printer Issue,2,11,4.1
Software Crash,2,23,4.3
Software Crash,3,24,1.7
Software Crash,2,52,3.8
Password Reset,2,63,0.8
VPN Connection,3,88,1.7
Software Crash,3,58,2.9
Password Reset,1,58,1.2
VPN Connection,2,28,3.5
Hardware Failure,3,27,46.2
VPN Connection,2,15,1.1
Password Reset,1,52,0.8
Software Crash,2,55,7.8
Password Reset,3,45,0.4
Password Reset,2,12,0.7
Password Reset,1,91,2.4
Software Crash,1,66,9.5
Password Reset,1,88,0.7
Password Reset,2,79,1.3
VPN Connection,2,14,3.3
Software Crash,2,71,5.4
Printer Issue,3,42,3.3
Hardware Failure,2,52,49.7
Hardware Failure,2,45,47.2
Printer Issue,2,15,3.2
Hardware Failure,3,16,30.2
Software Crash,2,52,5.4
Password Reset,2,72,1.9
Software Crash,3,15,4.3
VPN Connection,2,55,3.3
VPN Connection,2,13,3.5
Printer Issue,3,46,2.2
Password Reset,1,97,2.1
VPN Connection,1,94,4.7
Password Reset,2,35,0.5
Password Reset,3,44,0.6
